Number of Vehicles,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
5,3,1,4,1,1,1,36,4
5,3,1,4,2,1,1,27,4
1,2,2,1,3,2,1,68,1
2,1,1,1,1,1,1,49,1
2,2,1,1,1,1,1,33,1
2,2,1,1,2,1,2,28,1
2,1,1,1,1,1,1,17,3
2,2,1,1,1,1,2,18,1
2,2,1,1,2,1,1,8,1
1,2,2,2,2,1,2,73,2
2,3,1,1,1,2,1,18,3
2,1,1,1,1,1,2,50,1
2,2,1,1,1,1,1,36,3
1,1,2,1,3,2,2,24,1
2,2,2,2,1,1,2,41,1
2,3,2,1,1,1,1,36,3
1,2,2,1,3,1,1,12,1
1,2,3,1,1,1,2,21,1
2,2,2,1,1,1,1,64,1
2,2,2,1,1,1,1,42,1
2,1,2,1,2,1,2,41,1
2,2,1,1,1,1,1,50,1
1,3,1,4,1,1,2,28,1
1,2,2,1,3,2,1,45,1
1,3,1,1,3,1,2,36,1
1,3,1,1,3,1,2,8,1
2,1,1,1,2,1,2,30,2
2,1,2,1,1,1,1,39,1
2,2,3,1,1,1,1,24,1
2,2,3,1,2,1,2,20,1
2,2,2,1,1,1,1,26,1
2,2,2,1,1,1,1,45,1
2,2,2,1,2,2,2,23,1
2,1,1,1,1,1,1,60,1
2,1,1,1,1,1,1,48,1
1,2,2,1,1,2,1,67,1
1,1,1,1,3,2,2,73,4
3,1,1,1,2,1,2,79,1
1,2,2,1,3,1,2,23,1
1,2,2,1,3,1,2,31,1
2,2,1,2,1,1,1,80,1
2,1,1,1,1,2,2,46,1
2,2,1,1,1,1,2,25,1
2,2,1,1,1,1,2,43,1
2,2,1,1,2,1,2,70,1
2,2,1,1,2,1,2,63,1
1,1,1,1,3,1,1,35,1
2,2,1,1,1,1,2,33,1
2,3,1,1,2,1,2,33,1
2,3,1,1,1,1,1,28,1
3,2,1,1,2,1,2,29,1
2,1,1,1,1,1,2,63,3
1,2,1,1,3,1,1,15,1
2,2,2,1,1,3,1,47,3
2,1,2,1,2,1,1,21,1
1,2,2,1,3,1,2,19,1
1,2,1,1,1,1,1,68,3
3,1,1,1,2,1,2,72,1
2,2,1,1,3,2,1,38,1
2,2,2,1,1,2,1,27,3
1,2,3,1,1,1,2,43,1
1,2,3,1,2,1,1,22,1
1,2,2,2,3,1,2,45,1
1,1,1,1,3,2,2,22,1
1,2,1,1,3,2,1,63,1
1,1,1,1,3,2,1,89,1
2,1,2,1,1,1,1,22,3
2,1,2,1,1,1,1,23,1
2,2,2,1,1,1,1,48,4
1,1,1,1,3,1,1,58,1
1,1,1,1,3,1,1,40,1
2,2,1,2,1,1,1,23,1
2,1,1,1,2,1,2,19,1
2,1,2,1,1,1,1,20,1
2,1,2,1,2,1,1,21,1
2,1,2,1,2,1,1,21,1
2,1,2,1,1,1,1,18,1
2,1,1,1,2,1,2,19,1
1,2,1,1,3,3,1,61,4
2,1,1,1,1,2,1,18,3
1,1,1,1,3,1,2,30,1
1,2,2,1,3,1,1,34,1
2,2,1,3,1,1,1,34,1
2,2,1,3,1,1,1,34,1
1,1,2,1,3,1,2,83,1
2,1,1,1,2,1,2,67,1
2,2,2,3,1,1,2,54,1
2,2,2,3,1,1,2,21,1
1,1,2,1,3,1,2,29,1
2,2,2,1,1,1,1,27,1
2,2,2,1,2,1,2,26,1
1,2,1,1,3,1,1,11,1
2,1,1,1,1,1,1,21,1
3,2,1,2,1,1,1,46,1
2,1,1,1,1,1,2,54,1
2,1,1,1,1,1,2,57,3
2,1,1,1,1,1,1,40,1
2,1,2,1,1,1,1,25,3
3,2,1,1,1,1,2,24,1
1,2,1,1,2,1,2,20,1
1,1,1,1,3,1,2,25,1
1,2,1,1,1,2,1,17,3
2,2,3,1,2,1,1,5,1
2,2,3,1,1,1,2,32,1
2,2,3,1,1,1,2,53,1
2,1,1,1,1,1,1,36,1
2,1,1,1,2,1,2,32,1
2,1,2,1,2,1,1,3,1
2,1,2,1,2,1,1,9,1
2,1,2,1,2,1,2,11,1
2,1,2,1,1,1,1,33,1
2,1,2,1,2,1,1,62,1
1,2,2,2,3,1,1,48,3
2,2,1,1,1,1,2,62,1
2,2,1,1,1,1,2,61,1
2,2,1,1,2,1,2,19,1
2,1,1,1,1,1,1,63,4
2,1,1,1,1,1,1,32,2
5,2,1,1,1,1,2,86,1
2,1,1,1,2,1,1,26,1
1,2,2,2,3,1,2,41,1
2,1,2,1,1,1,1,24,1
2,1,2,1,1,2,1,38,1
1,1,3,1,3,1,1,47,1
1,1,2,1,3,1,1,18,4
2,1,1,1,1,1,1,32,1
2,1,1,1,1,1,2,24,1
2,2,1,1,1,1,1,23,3
2,2,2,1,2,1,1,26,4
2,2,2,1,3,1,2,15,1
6,2,1,1,1,1,2,46,1
6,2,1,1,1,1,2,33,1
5,3,1,4,1,1,2,20,1
5,3,1,4,2,1,1,23,1
5,3,1,4,1,1,1,26,4
2,1,2,1,1,1,2,20,1
2,2,3,1,1,1,1,32,1
2,2,3,1,1,1,1,28,6
2,1,1,1,1,2,1,52,1
2,1,1,1,1,1,1,68,1
2,1,1,1,1,2,2,22,1
2,1,1,1,1,1,2,22,3
1,2,1,1,3,2,2,79,1
1,1,1,1,3,1,2,82,1
2,1,1,1,2,1,2,70,2
2,1,1,1,2,1,2,38,1
2,1,1,1,1,1,1,36,1
2,1,1,1,1,1,1,20,1
2,1,1,1,2,1,2,20,1
2,1,2,1,2,1,1,18,1
2,1,2,1,2,1,2,18,1
1,2,2,1,3,1,1,32,1
2,1,2,1,1,1,2,57,1
2,1,1,1,2,1,1,30,1
2,1,1,1,1,1,1,65,1
2,1,1,1,1,1,2,55,1
1,1,1,1,3,2,2,37,1
2,2,1,1,1,1,1,53,1
4,1,2,1,1,1,2,29,1
4,1,2,1,1,1,2,49,1
1,1,2,1,2,2,2,82,2
2,2,1,1,1,1,1,28,3
2,2,1,1,1,1,2,59,1
2,2,1,1,2,1,2,37,1
2,2,1,1,2,1,2,17,1
3,2,1,2,1,1,2,28,1
3,2,1,2,2,1,2,2,1
2,2,1,1,2,1,2,33,1
1,1,2,1,3,1,2,22,1
2,1,1,1,1,2,1,44,3
2,1,1,1,1,1,1,35,3
2,2,1,2,1,2,1,51,3
1,2,1,3,3,1,1,60,4
2,2,1,3,3,1,2,23,1
2,2,2,4,2,1,1,13,1
2,2,2,4,1,1,2,45,1
1,3,2,4,3,1,1,52,1
1,3,2,4,3,1,1,28,1
1,3,2,4,1,1,1,70,1
1,2,2,1,1,1,2,22,1
2,2,2,4,2,1,1,22,1
3,3,1,1,1,1,2,33,1
1,3,1,1,1,1,2,53,1
1,2,1,4,1,1,2,20,1
2,2,1,1,1,1,1,41,1
2,2,1,1,2,2,1,43,1
2,2,1,1,1,1,1,56,1
2,2,1,1,1,1,2,22,1
1,3,1,4,3,1,2,38,4
2,2,1,1,1,1,1,41,4
2,2,1,1,1,1,1,51,1
2,2,1,1,1,1,1,49,1
1,3,1,1,3,2,2,38,1
1,3,1,1,3,1,1,8,1
1,3,2,1,1,1,1,18,1
2,2,2,1,2,1,1,49,1
2,2,2,1,2,1,2,47,1
2,2,1,1,1,1,2,19,1
2,2,1,1,2,1,1,28,1
1,1,2,1,2,1,2,23,2
2,1,1,1,2,1,1,40,1
1,1,1,1,2,2,1,84,2
1,2,3,1,1,1,1,30,1
1,1,1,1,1,2,1,77,3
1,1,1,1,1,1,1,80,1
2,1,1,1,1,1,1,57,1
1,1,2,1,3,1,1,54,1
1,1,2,1,3,1,2,18,1
2,1,2,1,1,1,2,51,1
3,1,1,1,1,1,1,41,3
2,1,3,1,1,1,1,21,3
2,1,1,1,1,1,2,58,1
2,1,1,1,2,1,2,25,1
2,2,2,1,1,1,2,51,1
2,2,2,1,2,1,2,24,1
3,2,2,1,1,1,2,25,1
3,2,2,1,2,1,2,23,1
3,2,2,1,1,1,1,38,1
3,1,1,1,1,1,1,24,3
1,1,1,1,3,1,2,50,1
2,1,1,1,1,1,1,20,3
2,1,1,1,1,2,2,29,1
2,1,1,1,2,1,2,26,1
2,1,2,1,2,1,2,21,1
1,2,2,1,1,1,1,38,3
2,1,1,1,1,1,2,40,1
2,1,1,1,1,1,2,41,1
2,1,1,1,2,1,2,14,1
2,1,1,1,1,1,1,57,1
2,1,1,1,1,1,2,46,1
1,1,1,1,3,1,1,6,1
1,1,1,1,3,2,1,23,1
2,1,1,1,1,1,2,46,1
2,1,2,1,1,1,2,59,1
2,1,2,1,2,1,2,59,1
2,1,2,1,1,1,1,22,3
1,1,1,1,3,1,2,53,4
2,1,2,1,1,1,1,38,1
2,1,2,1,2,1,2,31,1
2,1,2,1,1,1,1,27,1
2,1,1,1,1,1,1,15,3
3,1,1,1,1,1,1,32,1
3,1,1,1,1,1,2,33,1
2,2,1,2,1,1,2,25,1
2,1,1,1,1,2,2,23,1
2,1,1,1,2,1,2,25,1
2,2,3,1,1,1,2,54,1
3,2,2,1,1,1,2,41,1
2,2,2,2,1,1,1,25,1
2,2,2,2,2,1,2,17,1
2,2,1,1,1,1,1,26,3
2,2,1,1,1,1,1,68,1
2,1,1,1,1,1,1,25,1
2,1,1,1,2,1,1,32,1
1,1,1,1,2,2,2,66,2
1,1,1,1,3,1,1,22,1
2,1,1,1,1,1,2,26,3
2,1,1,1,1,1,2,54,1
2,1,2,1,1,1,2,51,1
3,1,1,1,2,1,1,19,1
2,1,1,1,1,1,1,24,3
2,2,1,1,1,1,1,13,3
2,1,1,1,1,1,1,63,1
2,1,1,1,1,1,2,43,1
2,1,1,1,2,1,1,5,1
2,1,1,1,2,1,2,9,1
2,1,2,1,1,1,2,31,1
2,1,3,1,1,1,1,52,1
3,1,1,1,1,1,2,40,1
2,2,1,1,1,1,1,24,3
2,1,1,1,1,1,2,48,1
1,1,1,1,1,1,2,36,1
1,1,1,1,2,1,2,21,1
1,1,1,1,2,1,1,2,1
2,1,2,1,1,1,1,36,1
1,2,1,1,1,1,1,48,3
1,1,1,1,2,2,2,23,1
2,2,2,1,1,1,2,22,1
2,2,2,1,1,1,2,32,1
2,1,1,1,1,1,1,23,1
2,1,1,1,2,1,1,22,1
2,1,1,1,2,1,1,21,4
2,1,1,1,2,1,1,24,4
1,1,2,1,3,2,1,66,2
2,1,1,1,1,1,1,42,3
2,1,2,1,2,1,2,19,1
2,1,2,1,1,1,1,18,1
2,1,2,1,2,1,2,21,1
1,2,2,1,1,1,1,33,1
1,2,2,1,2,1,2,33,1
1,2,1,1,3,1,1,64,1
1,2,3,1,3,1,2,25,1
2,2,1,1,1,2,1,21,1
2,2,1,1,2,2,1,24,1
2,2,1,1,1,2,2,26,1
2,2,1,1,2,2,1,34,1
1,1,1,1,3,1,2,12,4
3,2,2,1,1,1,2,44,1
1,2,2,1,3,1,2,21,1
2,1,1,1,1,1,2,32,3
3,1,1,1,1,1,2,55,3
1,1,1,1,2,1,2,74,2
1,1,3,1,1,1,2,20,1
1,2,2,1,1,1,1,18,1
1,2,2,1,2,1,1,18,1
1,2,2,1,2,1,1,18,1
1,2,2,2,1,2,1,46,1
2,1,1,1,1,1,1,62,1
2,2,1,1,1,1,2,29,3
2,1,2,1,1,1,1,29,3
1,1,1,1,3,1,1,18,1
1,1,1,1,1,1,1,51,1
1,1,2,1,3,2,2,19,1
1,1,2,1,3,1,1,20,1
1,2,1,1,1,1,1,25,3
2,1,1,1,1,1,2,19,3
2,1,1,1,1,1,1,29,1
2,1,1,1,1,1,1,26,1
2,1,1,1,1,1,2,29,1
2,2,3,1,1,2,1,52,1
2,2,3,1,2,1,1,10,1
2,2,3,1,1,1,1,32,1
2,2,3,1,2,1,2,21,1
2,2,3,1,2,2,1,8,1
2,2,3,1,2,1,1,11,1
2,2,3,1,2,1,2,6,1
1,1,1,1,2,1,2,82,2
1,1,1,1,1,2,1,51,4
3,1,1,1,1,1,1,40,1
3,1,1,1,1,1,2,47,1
3,1,1,1,1,1,2,40,1
1,4,1,2,1,1,1,39,1
1,2,1,2,3,1,2,48,1
2,2,2,1,1,2,2,25,3
2,1,1,1,1,1,2,40,1
2,1,1,1,1,1,1,28,4
1,1,1,1,3,1,2,45,2
2,1,1,1,1,1,2,67,3
1,2,2,1,3,2,1,53,1
2,1,3,1,1,2,2,28,1
2,1,1,1,1,1,1,45,4
1,1,1,1,3,1,1,78,1
1,2,1,1,1,1,1,26,1
1,2,1,1,2,1,2,27,1
1,1,2,1,3,1,1,44,1
2,2,2,2,1,1,1,53,1
2,2,2,2,1,1,2,43,1
2,2,2,2,2,1,1,14,1
2,2,2,2,2,1,1,13,1
3,2,1,1,1,1,1,29,1
3,2,1,1,1,1,2,50,2
3,2,1,1,2,1,2,22,2
3,2,1,1,2,1,2,34,2
2,1,1,1,1,1,1,28,1
2,1,1,1,1,1,1,46,1
1,1,1,1,3,1,2,24,1
1,1,2,1,1,2,1,39,4
2,1,1,1,2,1,2,44,2
2,1,1,1,1,1,2,27,1
2,1,1,1,1,1,2,42,1
2,2,2,1,1,1,1,21,1
2,2,2,1,2,1,2,52,1
2,2,2,1,2,1,2,26,1
2,2,2,1,1,1,1,32,1
2,2,2,1,2,1,2,39,1
2,2,2,1,2,1,2,35,1
2,2,1,1,1,1,1,20,1
2,2,1,1,1,1,2,48,1
2,2,1,1,1,1,1,45,3
1,2,1,1,3,2,1,20,4
2,1,1,1,1,1,1,24,4
2,1,1,1,2,1,1,31,4
7,1,1,1,1,1,1,20,1
7,1,1,1,2,1,1,46,1
7,1,1,1,1,1,2,37,1
7,1,1,1,1,1,1,39,1
7,1,1,1,2,1,1,22,1
2,1,2,1,2,1,1,6,1
2,2,2,1,1,1,1,35,1
3,1,1,1,1,1,2,45,1
3,1,1,1,1,1,1,28,1
3,1,1,1,2,1,1,25,1
1,1,2,1,1,1,1,48,3
1,1,2,1,1,1,1,40,1
2,1,2,1,3,1,1,20,1
2,2,1,1,1,1,1,36,1
2,1,1,1,1,1,2,20,3
2,1,2,1,1,1,2,54,1
2,1,2,1,2,1,2,90,1
2,2,1,3,1,2,1,20,3
1,1,1,1,3,2,2,90,3
1,1,1,2,3,1,2,39,1
3,2,1,1,1,1,2,31,1
3,2,1,1,2,1,2,57,1
1,3,1,4,1,1,2,38,1
2,2,1,3,2,1,1,15,1
2,2,1,3,1,1,1,43,1
3,3,1,4,1,1,2,60,1
3,3,1,4,2,2,2,82,1
3,3,1,4,1,1,1,80,1
3,3,1,4,1,1,1,44,1
2,1,1,1,2,1,1,2,1
2,1,1,1,2,1,2,91,1
1,2,2,1,3,1,1,59,4
5,2,1,2,2,1,1,19,1
2,1,1,1,1,1,1,24,1
2,1,1,1,1,1,2,42,1
2,1,1,1,1,1,1,83,1
2,1,1,1,2,1,2,60,1
2,1,1,1,1,1,1,42,3
3,1,1,1,1,1,1,62,1
3,1,1,1,1,1,2,23,1
2,2,1,2,1,1,1,57,1
3,1,1,1,1,1,1,82,1
2,1,1,1,1,1,1,26,3
2,1,1,1,1,1,2,43,1
2,1,2,1,1,1,1,50,3
2,1,1,1,1,1,2,23,1
3,1,1,1,1,1,1,20,3
3,1,1,1,1,1,2,19,3
2,1,1,1,1,1,1,25,1
1,1,1,1,2,1,2,60,2
1,1,1,1,1,1,2,60,1
1,1,1,1,2,1,1,46,2
2,1,2,1,1,1,2,39,1
2,1,1,1,1,1,2,43,1
2,1,1,1,1,1,1,57,1
2,1,1,1,1,2,1,21,1
2,1,1,1,2,1,1,24,1
1,1,1,1,3,1,2,3,1
2,1,1,1,1,1,1,38,4
2,1,2,1,1,1,1,26,1
1,1,2,1,3,1,1,20,1
1,1,1,1,1,2,1,21,1
1,1,1,1,2,3,1,14,1
1,1,1,1,2,3,1,13,1
1,1,1,1,2,2,1,15,1
1,1,1,1,2,2,1,14,1
2,1,1,1,1,2,1,29,3
1,1,1,1,2,1,2,84,2
2,1,1,1,1,1,1,46,1
2,1,2,1,1,1,2,57,1
2,1,1,1,1,1,2,28,3
2,1,2,1,1,1,1,49,1
4,1,2,1,2,1,2,40,1
2,1,1,1,1,1,1,43,3
2,1,1,1,1,1,1,34,4
2,1,1,1,1,1,1,28,3
2,1,1,1,1,1,1,45,3
2,1,2,1,1,1,1,40,3
2,1,2,1,1,1,1,34,3
1,1,1,1,3,2,1,32,1
2,1,2,1,1,1,2,37,1
2,1,2,1,2,1,1,42,1
1,1,2,1,3,1,2,18,1
2,1,1,1,1,1,1,36,4
2,1,1,1,1,1,2,37,1
1,1,1,1,3,1,1,14,1
1,1,1,1,2,1,1,33,3
1,1,1,1,1,1,1,17,3
2,1,1,1,1,1,2,34,1
2,1,1,1,1,1,2,52,1
2,1,1,1,2,1,2,47,1
2,2,2,1,1,1,1,43,1
2,2,2,1,2,1,2,43,1
1,1,1,1,3,1,2,26,2
1,1,1,1,3,1,1,7,1
3,1,1,1,1,1,1,29,1
3,1,1,1,1,1,2,25,1
2,1,2,1,1,2,1,15,3
1,1,2,1,3,1,1,30,1
2,1,1,1,2,1,1,22,1
4,1,1,1,1,1,1,46,1
2,1,1,1,1,1,1,43,3
2,1,1,1,3,1,2,38,1
2,1,1,1,1,2,1,72,1
2,2,1,1,1,1,1,24,3
1,1,2,1,2,1,2,19,1
2,1,2,1,1,1,2,54,1
2,1,2,1,1,1,2,64,1
3,1,3,1,1,1,1,66,1
3,1,3,1,1,1,1,21,1
2,1,1,1,1,1,1,25,3
3,1,1,1,1,1,1,58,3
1,1,1,1,2,1,2,40,2
2,1,1,1,1,1,1,17,3
2,1,1,1,1,1,1,35,3
1,1,1,1,3,2,1,49,1
1,1,2,1,1,2,1,48,4
2,1,1,1,1,1,1,46,3
1,1,1,1,3,1,2,6,1
2,1,2,1,1,2,1,23,3
2,1,2,1,1,1,1,18,1
2,1,2,1,2,2,2,14,1
2,1,2,1,2,1,1,18,1
2,1,2,1,2,1,1,18,1
2,1,2,1,2,1,2,14,1
2,1,2,1,1,1,1,20,1
2,1,1,1,1,1,1,39,3
1,1,1,1,3,1,1,2,1
2,1,1,1,1,1,2,46,1
1,1,2,1,3,2,1,75,1
1,1,2,1,3,1,2,55,1
2,1,3,1,1,1,1,38,4
2,1,3,1,1,1,1,20,1
2,1,3,1,2,1,2,20,1
1,1,1,1,3,1,2,13,1
2,1,2,1,1,2,2,74,1
1,1,2,1,3,2,1,39,1
2,1,1,1,1,1,1,29,3
2,1,1,1,1,1,1,60,3
2,1,1,1,2,1,1,8,3
2,1,1,1,1,1,2,27,3
2,1,1,1,1,1,2,31,1
2,1,1,1,2,1,1,2,1
2,1,1,1,1,1,1,46,1
2,1,1,1,1,1,2,33,1
1,1,2,1,3,2,1,24,1
2,1,1,1,1,1,2,26,1
2,1,1,1,2,1,1,53,1
2,1,1,1,1,1,1,39,1
3,1,1,1,1,1,1,56,1
2,1,1,1,3,1,1,69,1
2,1,1,1,1,1,1,30,3
2,1,1,1,1,1,1,57,1
2,1,1,1,1,1,2,27,1
1,1,1,1,3,2,2,86,1
2,1,2,1,1,1,2,20,1
2,1,2,1,2,1,2,23,1
2,1,2,1,2,1,2,18,1
1,1,1,1,3,1,1,67,1
2,1,1,1,1,1,1,23,3
2,1,1,1,1,1,1,46,1
2,1,1,1,1,1,1,24,3
3,1,1,1,1,1,1,39,1
1,1,1,1,3,1,2,19,1
2,1,2,1,1,1,2,31,1
2,1,1,1,1,2,1,35,3
2,1,1,1,1,1,1,28,3
2,1,1,1,1,1,2,22,1
2,1,3,1,1,2,1,68,1
2,1,3,1,2,1,1,71,1
2,1,3,1,2,1,1,73,1
2,1,3,1,1,1,2,21,1
2,1,3,1,2,1,2,19,1
2,2,1,2,1,1,1,25,3
2,1,1,1,1,1,2,30,1
2,1,1,1,1,1,2,48,1
3,1,1,1,1,1,1,28,1
1,1,1,1,2,1,1,16,3
2,1,2,1,1,1,1,34,3
2,1,2,1,2,1,2,29,3
2,2,2,2,1,1,1,39,1
2,2,2,2,2,1,1,39,1
2,2,1,2,2,1,2,18,1
2,2,1,2,2,1,1,2,1
2,2,1,2,1,1,1,30,1
2,2,1,2,2,1,2,25,1
2,2,1,2,1,1,1,19,3
2,2,1,2,1,1,1,40,3
2,1,1,1,1,1,1,4,3
2,1,1,1,1,1,1,16,3
1,1,1,1,3,1,2,22,1
2,1,1,1,1,1,1,20,3
2,1,1,1,1,1,1,25,4
2,2,1,2,1,1,1,56,3
2,2,2,3,2,1,1,47,1
2,2,2,3,2,1,1,23,1
2,2,2,3,2,1,1,15,1
2,2,2,3,2,1,1,18,1
1,2,2,3,1,1,2,41,1
1,2,2,3,2,1,1,39,1
2,2,2,2,1,1,1,31,3
2,1,1,1,1,1,2,23,3
1,1,1,1,3,1,1,39,1
2,2,1,1,3,2,1,54,1
2,2,2,2,1,1,1,32,1
1,2,1,2,3,2,1,29,1
2,1,1,1,1,1,2,27,1
2,1,1,1,1,1,2,19,1
1,1,1,1,1,1,2,36,1
1,1,1,1,2,1,1,6,1
1,1,1,1,2,1,1,3,1
1,1,1,1,3,2,2,75,1
3,2,1,2,1,1,1,25,1
3,2,1,2,1,1,1,19,1
2,1,1,1,1,1,1,65,1
2,2,1,2,1,1,1,44,1
2,2,1,2,2,1,1,8,1
3,2,2,1,1,1,1,24,1
3,2,2,1,1,1,1,25,1
2,1,1,1,1,1,1,34,3
1,1,1,1,3,1,2,20,1
2,1,1,1,1,1,1,22,3
2,1,1,1,1,1,1,29,3
2,1,2,1,1,1,1,38,3
1,1,2,1,3,2,1,48,1
2,2,1,1,1,1,1,37,1
2,1,1,1,1,1,1,44,1
3,1,2,1,1,1,1,25,1
3,1,2,1,1,1,2,20,1
3,1,2,1,2,1,2,20,1
3,1,2,1,3,2,2,46,1
2,1,1,1,1,1,1,44,3
1,2,3,1,3,1,1,29,1
3,1,1,1,2,1,1,4,1
1,1,1,1,3,1,2,26,1
2,1,1,1,1,1,1,66,1
2,1,1,1,2,1,2,69,1
2,1,1,1,2,1,1,32,1
2,1,1,1,2,1,2,7,1
2,1,1,1,2,1,2,27,1
3,1,1,1,1,1,1,19,1
3,1,1,1,2,1,2,48,1
2,1,1,1,1,1,1,18,1
2,1,2,1,1,1,1,40,1
2,1,2,1,2,1,1,34,1
3,1,1,1,1,1,1,74,2
3,1,1,1,2,2,1,63,2
3,1,1,1,2,1,2,69,2
3,1,1,1,1,1,1,72,1
3,1,1,1,2,1,2,70,1
4,1,1,1,1,1,2,49,4
3,1,1,1,1,1,2,25,1
1,1,1,1,3,1,2,20,1
1,1,1,1,2,1,1,55,2
2,1,1,1,1,1,1,32,3
3,1,1,1,1,2,2,18,1
3,1,1,1,1,1,2,52,1
1,1,1,1,1,1,1,76,3
2,1,1,1,1,1,1,31,3
2,1,1,1,1,2,1,28,3
1,1,2,1,1,1,1,43,3
2,1,1,1,2,1,2,26,1
1,1,1,1,1,1,2,48,3
1,1,1,1,1,2,1,41,1
2,1,1,1,1,1,1,58,3
1,1,2,1,3,1,1,35,4
2,1,2,1,2,1,2,18,1
2,1,2,1,2,1,1,33,1
2,1,1,1,1,1,1,38,3
2,1,1,1,1,1,2,23,1
1,2,1,3,1,1,2,23,1
2,1,1,1,1,1,1,37,1
2,1,1,1,1,1,1,38,1
2,1,1,1,1,1,2,82,1
2,1,1,1,1,1,2,23,1
2,1,1,1,1,2,1,58,3
4,1,1,1,1,1,1,26,4
4,1,1,1,1,1,1,44,5
4,1,1,1,1,1,2,44,5
4,1,1,1,1,1,2,47,5
3,1,1,1,1,1,2,57,1
3,1,1,1,1,1,1,78,4
2,1,1,1,2,1,1,9,1
2,1,1,1,1,1,2,25,1
2,1,1,1,1,1,1,33,1
2,1,1,1,1,1,2,42,1
2,1,1,1,1,1,1,25,3
